0,558.0869987
0.0025,558.0869987
0.01,424.8061495
0.0225,344.7183128
0.04,288.6887541
0.0625,249.6459726
0.09,220.3891457
0.1225,198.5333066
0.16,181.2675205
0.2025,167.4754423
0.25,156.5454933
0.3025,147.1133486
0.36,139.8520737
0.4225,133.5215627
0.49,128.5277329
0.5625,124.389127
0.64,121.1338385
0.7225,118.6300629
0.81,117.1787413
0.9025,116.5331533
1,117.1511084
1.1025,119.0121787
1.21,122.9047905
1.3225,129.1659352
1.44,138.0979379
1.5625,151.281276
1.69,171.3607271
1.8225,204.635032
1.96,262.4516974
2.1025,376.6504933
2.25,608.12738
2.4025,1040.537333
2.56,1706.55482
2.7225,2552.559119
2.89,3535.785551
3.0625,4638.135158
3.24,5841.338881
3.4225,7186.613045
3.61,8670.437767
3.8025,10370.62545
4,12383.95914
4.2025,16533.43368
4.41,24468.42535
4.6225,35924.82831
4.730625,42897.66654
4.876555505,53408.45165
4.950625,58982.89128
5.0625,67169.4671
5.29,83008.71163
5.5225,98173.94576
5.76,112707.2951
6.0025,126647.4466
6.25,140029.9919
6.5025,152887.7316
6.76,165250.9428
7.0225,177147.6178
7.29,188603.6752
7.5625,199643.1486
7.84,210288.3552
8.1225,220560.0457
8.41,230477.54
9,249320.7792
9.2875,257767.4587
