558.0869987,8885.389949,-2772555.217,-312640305.2
558.0869987,-10839.39186,-3132006.165,294376145.7
424.8061495,-8143.509742,50719.06111,7055965.042
344.7183128,-3568.0496,-27415.90085,2762902.205
288.6887541,-1989.189729,-978.0208405,545107.0921
249.6459726,-1205.319271,-529.8923514,206289.8419
220.3891457,-766.443271,938.5112819,60075.07465
198.5333066,-515.0771449,407.3850654,28003.01699
181.2675205,-366.385537,350.006502,14942.98932
167.4754423,-255.662661,397.7092972,2955.026454
156.5454933,-197.8784424,14.19634717,6339.495825
147.1133486,-143.9681199,327.5540415,-347.6080758
139.8520737,-109.7472427,10.02894618,2005.058139
133.5215627,-84.99684937,165.0698336,-28.09961068
128.5277329,-63.09650839,42.75374051,554.1295043
124.389127,-48.1592864,80.2235225,-10.28255801
121.1338385,-35.90991925,43.37463374,291.3083606
118.6300629,-22.8049521,86.33498017,-174.4838137
117.1787413,-11.70400566,37.59990414,145.7046257
116.5331533,-1.007967788,99.22788601,-244.9704024
117.1511084,11.35522032,66.12783835,2.232909657
119.0121787,24.9818057,123.9000167,-180.9163978
122.9047905,45.34816393,114.2806277,-201.4905727
129.1659352,63.41095997,136.5906364,-249.4026559
138.0979379,85.17981327,263.6396892,-656.8322493
151.281276,120.2017703,417.7870566,-983.2359236
171.3607271,178.7862828,839.7168155,-2216.984324
204.635032,284.5454458,1476.749553,-3549.813982
262.4516974,489.3105611,3133.817777,-6622.814918
376.6504933,978.9950212,4954.37725,-6454.735539
608.12738,2019.24379,5549.123759,-1290.408578
1040.537333,3621.696343,3504.278161,2219.694888
1706.55482,4890.730882,1216.645316,4458.965302
2552.559119,5639.374268,793.2871764,3484.381675
3535.785551,6198.401522,1174.39405,-354.6143753
4638.135158,6571.911487,935.9642708,1287.597814
5841.338881,7025.880939,2620.416334,-3985.487282
7186.613045,7584.107994,2120.93758,-1935.699676
8670.437767,8175.303761,6244.953353,-14715.82981
10370.62545,8943.670396,8947.06183,-13244.55623
12383.95914,10927.8984,59696.49415,-61581.00731
16533.43368,27529.35999,55917.80422,-20702.70055
24468.42535,48061.10679,21464.83865,28569.67756
35924.82831,61053.96173,10145.95431,199955.6139
42897.66654,70261.07697,6828.086079,36085.18771
53408.45165,74559.30839,32311.17392,-308586.2209
58982.89128,74266.87247,-9288.105013,-4128.228097
67169.4671,72033.65207,-12142.22933,6796.434831
83008.71163,67564.21166,-10695.07287,2760.202857
98173.94576,63038.62142,-7086.297112,-2882.231779
112707.2951,59184.90264,-6405.132175,-2491.189738
126647.4466,55638.92095,-5800.972003,-2159.615815
140029.9919,52370.56991,-5263.859393,-1877.527641
152887.7316,49353.20855,-4785.280274,-1636.770239
165250.9428,46563.20492,-4357.93286,-1430.654732
177147.6178,43979.54701,-3975.537065,-1253.67358
188603.6752,41583.51014,-3632.676604,-1101.275098
199643.1486,39358.37172,-3324.667724,-969.6841184
210288.3552,37289.16592,-3681.690235,1389.340503
220560.0457,35541.6451,-3525.753303,-391.4847174
230477.54,33417.26098,-2847.738097,576.2655229
249320.7792,30658.72411,-2271.073509,-7573.96793
