0.035,0.035,0.004,,35,35,,0.001
0.102,0.035,0.004,,102,35,,
0.169,0.035,0.004,,169,35,,
0.236,0.035,0.004,,236,35,,
0.303,0.035,0.004,,303,35,,
0.37,0.035,0.004,,370,35,,
0.437,0.035,0.004,,437,35,,
0.504,0.035,0.004,,504,35,,
0.035,0.102,0.004,,35,102,,
0.102,0.102,0.004,,102,102,,
0.169,0.102,0.004,,169,102,,
0.236,0.102,0.004,,236,102,,
0.303,0.102,0.004,,303,102,,
0.37,0.102,0.004,,370,102,,
0.437,0.102,0.004,,437,102,,
0.504,0.102,0.004,,504,102,,
0.035,0.169,0.004,,35,169,,
0.102,0.169,0.004,,102,169,,
0.169,0.169,0.004,,169,169,,
0.236,0.169,0.004,,236,169,,
0.303,0.169,0.004,,303,169,,
0.37,0.169,0.004,,370,169,,
0.437,0.169,0.004,,437,169,,
0.504,0.169,0.004,,504,169,,
0.035,0.236,0.004,,35,236,,
0.102,0.236,0.004,,102,236,,
0.169,0.236,0.004,,169,236,,
0.236,0.236,0.004,,236,236,,
0.303,0.236,0.004,,303,236,,
0.37,0.236,0.004,,370,236,,
0.437,0.236,0.004,,437,236,,
0.504,0.236,0.004,,504,236,,
0.035,0.303,0.004,,35,303,,
0.102,0.303,0.004,,102,303,,
0.169,0.303,0.004,,169,303,,
0.236,0.303,0.004,,236,303,,
0.303,0.303,0.004,,303,303,,
0.37,0.303,0.004,,370,303,,
0.437,0.303,0.004,,437,303,,
0.504,0.303,0.004,,504,303,,
0.035,0.37,0.004,,35,370,,
0.102,0.37,0.004,,102,370,,
0.169,0.37,0.004,,169,370,,
0.236,0.37,0.004,,236,370,,
0.303,0.37,0.004,,303,370,,
0.37,0.37,0.004,,370,370,,
0.437,0.37,0.004,,437,370,,
0.504,0.37,0.004,,504,370,,
0.035,0.437,0.004,,35,437,,
0.102,0.437,0.004,,102,437,,
0.169,0.437,0.004,,169,437,,
0.236,0.437,0.004,,236,437,,
0.303,0.437,0.004,,303,437,,
0.37,0.437,0.004,,370,437,,
0.437,0.437,0.004,,437,437,,
0.504,0.437,0.004,,504,437,,
0.035,0.504,0.004,,35,504,,
0.102,0.504,0.004,,102,504,,
0.169,0.504,0.004,,169,504,,
0.236,0.504,0.004,,236,504,,
0.303,0.504,0.004,,303,504,,
0.37,0.504,0.004,,370,504,,
0.437,0.504,0.004,,437,504,,
0.504,0.504,0.004,,504,504,,
