0.035,0.035,0.004
0.102,0.035,0.004
0.169,0.035,0.004
0.236,0.035,0.004
0.303,0.035,0.004
0.37,0.035,0.004
0.437,0.035,0.004
0.504,0.035,0.004
0.035,0.102,0.004
0.102,0.102,0.004
0.169,0.102,0.004
0.236,0.102,0.004
0.303,0.102,0.004
0.37,0.102,0.004
0.437,0.102,0.004
0.504,0.102,0.004
0.035,0.169,0.004
0.102,0.169,0.004
0.169,0.169,0.004
0.236,0.169,0.004
0.303,0.169,0.004
0.37,0.169,0.004
0.437,0.169,0.004
0.504,0.169,0.004
0.035,0.236,0.004
0.102,0.236,0.004
0.169,0.236,0.004
0.236,0.236,0.004
0.303,0.236,0.004
0.37,0.236,0.004
0.437,0.236,0.004
0.504,0.236,0.004
0.035,0.303,0.004
0.102,0.303,0.004
0.169,0.303,0.004
0.236,0.303,0.004
0.303,0.303,0.004
0.37,0.303,0.004
0.437,0.303,0.004
0.504,0.303,0.004
0.035,0.37,0.004
0.102,0.37,0.004
0.169,0.37,0.004
0.236,0.37,0.004
0.303,0.37,0.004
0.37,0.37,0.004
0.437,0.37,0.004
0.504,0.37,0.004
0.035,0.437,0.004
0.102,0.437,0.004
0.169,0.437,0.004
0.236,0.437,0.004
0.303,0.437,0.004
0.37,0.437,0.004
0.437,0.437,0.004
0.504,0.437,0.004
0.035,0.504,0.004
0.102,0.504,0.004
0.169,0.504,0.004
0.236,0.504,0.004
0.303,0.504,0.004
0.37,0.504,0.004
0.437,0.504,0.004
0.504,0.504,0.004
